db_id,Description
DB00657,"A nicotinic antagonist that is well absorbed from the gastrointestinal tract and crosses the blood-brain barrier. Mecamylamine has been used as a ganglionic blocker in treating hypertension, but, like most ganglionic blockers, is more often used now as a research tool."
DB00659,"Alcohol use disorder is responsible for a large worldwide burden of morbidity, premature mortality, and economic consequences resulting from accidents, violence, incarceration, decreased productivity, and increased healthcare spending.[A229073]

Acamprosate, also known by the brand name Campral, is a drug used for the maintenance of alcohol abstinence. It is a structural analogue of the neurotransmitter γ-aminobutyric acid (GABA).[L31758] Acamprosate is the first medication specifically formulated for the maintenance of alcohol abstinence in ethanol-dependent patients after alcohol detoxification[A997], unlike [naltrexone] and [disulfiram]. It was first approved by the FDA in 2004 and initially marketed by Forest Laboratories.[L31783]"
DB00661,"Verapamil is a phenylalkylamine calcium channel blocker used in the treatment of high blood pressure, heart arrhythmias, and angina,[L8791] and was the first calcium channel antagonist to be introduced into therapy in the early 1960s.[A188514] It is a member of the non-dihydropyridine class of calcium channel blockers, which includes drugs like [diltiazem] and [flunarizine], but is chemically unrelated to other cardioactive medications.[L8791] Verapamil is administered as a racemic mixture containing equal amounts of the S- and R-enantiomer, each of which is pharmacologically distinct - the S-enantiomer carries approximately 20-fold greater potency than the R-enantiomer, but is metabolized at a higher rate.[A188435]"
DB00668,"Epinephrine, also known as _adrenaline_, is a hormone and neurotransmitter and produced by the adrenal glands that can also be used as a drug due to its various important functions. Though it has long been used in the treatment of hypersensitivity reactions, epinephrine in the auto-injector form (EpiPen) has been available since 1987 in the USA. Many new products/biosimilars and dosage routes have been approved under various names over the last several decades [L4355], [L4356], [L4358].  On August 16, 2018, Teva Pharmaceuticals USA gained approval to market its generic epinephrine auto-injector in 0.3 mg and 0.15 mg strengths [L4353]. Dosage delivery routes for epinephrine include intravenous, inhalation, nebulization, intramuscular injection, and subcutaneous injection.

In general, the most common uses of parenteral epinephrine are to relieve respiratory distress due to bronchospasm, to provide rapid relief of hypersensitivity (anaphylactic or anaphylactoid) reactions to drugs, animal serums and other allergens, and to prolong the action of infiltration anesthetics [F2136]. In addition to the above functions, epinephrine is the primary drug administered during cardiopulmonary resuscitation (CPR) to reverse cardiac arrest [A37697], [A37699].  It can be used in severe cases of croup [L4824]."
DB00669,"Sumatriptan is a serotonin receptor agonist commonly used to treat migraines and sometimes cluster headaches.[L6793,L6796,L6799,L6805,L6808,L6811] Sumatriptan is the first of the triptans and was made available in Europe in 1991 to treat migraines.[A179761] Sumatriptan was granted FDA approval on 28 December 1992.[L6805]"
DB00672,"Chlorpropamide is an oral antihyperglycemic agent used for the treatment of non-insulin-dependent diabetes mellitus (NIDDM). It belongs to the sulfonylurea class of insulin secretagogues, which act by stimulating β cells of the pancreas to release insulin. Sulfonylureas increase both basal insulin secretion and meal-stimulated insulin release. Medications in this class differ in their dose, rate of absorption, duration of action, route of elimination and binding site on their target pancreatic β cell receptor. Sulfonylureas also increase peripheral glucose utilization, decrease hepatic gluconeogenesis and may increase the number and sensitivity of insulin receptors. Sulfonylureas are associated with weight gain, though less so than insulin. Due to their mechanism of action, sulfonylureas may cause hypoglycemia and require consistent food intake to decrease this risk. The risk of hypoglycemia is increased in elderly, debilitated and malnourished individuals. Chlorpropamide is not recommended for the treatment of NIDDM as it increases blood pressure and the risk of retinopathy (UKPDS-33). Up to 80% of the single oral dose of chlorpropramide is metabolized, likely in the liver; 80-90% of the dose is excreted in urine as unchanged drug and metabolites. Renal and hepatic dysfunction may increase the risk of hypoglycemia."
DB00674,"Galantamine is a tertiary alkaloid and reversible, competitive inhibitor of the acetylcholinesterase (AChE) enzyme, which is a widely studied therapeutic target used in the treatment of Alzheimer's disease.[A1018] First characterized in the early 1950s, galantamine is a tertiary alkaloid that was extracted from botanical sources, such as _Galanthus nivalis_.[A201968] Galantamine was first studied in paralytic and neuropathic conditions, such as myopathies and postpolio paralytic conditions, and for reversal of neuromuscular blockade.[A182993,A201968] Following the discovery of its AChE-inhibiting properties, the cognitive effects of galantamine were studied in a wide variety of psychiatric disorders such as mild cognitive impairment, cognitive impairment in schizophrenia and bipolar disorder, and autism; however, re-development of the drug for Alzheimer’s disease did not commence until the early 1990s due to difficulties in extraction and synthesis.[A201968] Galantamine blocks the breakdown of acetylcholine in the synaptic cleft, thereby increasing acetylcholine neurotransmission. It also acts as an allosteric modulator of the nicotinic receptor, giving its dual mechanism of action clinical significance.[A182993]

The drug was approved by the FDA in 2001 for the treatment of mild to moderate dementia of the Alzheimer's type. As Alzheimer's disease is a progressive neurodegenerative disorder, galantamine is not known to alter the course of the underlying dementing process. Galantamine works to block the enzyme responsible for the breakdown of acetylcholine in the synaptic cleft, thereby enhancing cholinergic neuron function and signalling. Under this hypothesized mechanism of action, the therapeutic effects of galantamine may decrease as the disease progression advances and fewer cholinergic neurons remain functionally intact.[L13571] It is therefore not considered to be a disease-modifying drug.[A203558] Galantamine is marketed under the brand name Razadyne, and is available as oral immediate- and extended-release tablets and solution.[L13571]"
DB00675,"Tamoxifen is a non-steroidal antiestrogen used to treat estrogen receptor positive breast cancers as well as prevent the incidence of breast cancer in high risk populations.[A1025,L7799,L7802] Tamoxifen is used alone or as an adjuvant in these treatments.[L7799,L7802] Tamoxifen may no longer be the preferred treatment for these types of cancers as patients generally have better survival, side effect profiles, and compliance with [anastrozole].[A1026]

Tamoxifen was granted FDA approval on 30 December 1977.[L7799]"
DB00678,"Losartan is an angiotensin II receptor blocker (ARB) used to treat hypertension.[L7423] Angiotensin-converting enzyme (ACE) inhibitors are used for a similar indication but are associated with a cough.[L7423] When patients with ACE inhibitor associated coughs are switched to ARBs like losartan, they have an incidence of cough similar to placebo or [hydrochlorothiazide].[L7423] Losartan is available as losartan potassium oral tablets as well as a combination tablet of losartan potassium and hydrochlorothiazide.[L7423,L7426] Patients taking losartan should have their renal function and potassium levels monitored.[L7423] Losartan was granted FDA approval on 14 April 1995.[L7423]"
DB00679,"A phenothiazine antipsychotic used in the management of psychoses, including schizophrenia, and in the control of severely disturbed or agitated behavior. It has little antiemetic activity. Thioridazine has a higher incidence of antimuscarinic effects, but a lower incidence of extrapyramidal symptoms, than chlorpromazine. (From Martindale, The Extra Pharmacopoeia, 30th ed, p618).

Thioridazine was withdrawn worldwide in 2005 due to its association with cardiac arrythmias."
DB00682,"Warfarin is an anticoagulant drug normally used to prevent blood clot formation as well as migration. Although originally marketed as a pesticide (d-Con, Rodex, among others), Warfarin has since become the most frequently prescribed oral anticoagulant in North America. Warfarin has several properties that should be noted when used medicinally, including its ability to cross the placental barrier during pregnancy which can result in fetal bleeding, spontaneous abortion, preterm birth, stillbirth, and neonatal death. Additional adverse effects such as necrosis, purple toe syndrome, osteoporosis, valve and artery calcification, and drug interactions have also been documented with warfarin use. Warfarin does not actually affect blood viscosity, rather, it inhibits vitamin-k dependent synthesis of biologically active forms of various clotting factors in addition to several regulatory factors."
DB00686,Pentosan polysulfate is a sulfated pentosyl polysaccharide with heparin-like properties.
DB00687,"Fludrocortisone is a synthetic mineralocorticoid used in conjunction with [hydrocortisone] to replace missing endogenous corticosteroids in patients with adrenal insufficiency.[A187169,A187187] It is functionally similar to [aldosterone], the body's primary endogenous mineralocorticoid, and is structurally analogous to [cortisol], differing only by a fluorine atom at the 9-position of the steroid structure - this fluorination is thought to be crucial to fludrocortisone's significant mineralocorticoid potency.[A5423]"
DB00691,"Moexipril is a non-sulfhydryl containing precursor of the active angiotensin-converting enzyme (ACE) inhibitor moexiprilat. It is used to treat high blood pressure (hypertension). It works by relaxing blood vessels, causing them to widen. Lowering high blood pressure helps prevent strokes, heart attacks and kidney problems."
DB00692,"Phentolamine is a reversible, non-selective alpha-adrenergic blocker that induces vasodilation. While initially introduced to the market for the treatment of hypertension, this clinical use was halted due to cardiovascular and gastrointestinal adverse effects with the prolonged use of large oral doses of phentolamine.[A261781, A261786] It has several therapeutic uses, including the treatment of hypertensive episodes, prevention of norepinephrine-induced extravasation, diagnosis of pheochromocytoma, reversal of soft-tissue anesthesia, and treatment of pharmacologically-induced mydriasis.[L48420, L48415, L48390] Phentolamine is administered intravenously, intramuscularly, submucosally, and topically."
DB00694,"A very toxic anthracycline aminoglycoside antineoplastic isolated from Streptomyces peucetius and others, used in treatment of leukemia and other neoplasms."
DB00695,"Furosemide is a potent loop diuretic that acts on the kidneys to ultimately increase water loss from the body. It is an anthranilic acid derivative.[L7958] Furosemide is used for edema secondary to various clinical conditions, such as congestive heart failure exacerbation, liver failure, renal failure, and high blood pressure.[L7961] It mainly works by inhibiting electrolyte reabsorption from the kidneys and enhancing the excretion of water from the body. Furosemide has a fast onset and short duration of action and has been used safely and effectively in both pediatric and adult patients.[A182495] The use of furosemide is particularly beneficial in clinical settings that require a drug with a higher diuretic potential. In addition to oral formulations, the solution for intravenous and intramuscular administration is also available, which is typically limited to patients who are unable to take oral medication or for patients in emergency clinical situations.[L7958]"
DB00696,A vasoconstrictor found in ergot of Central Europe. It is an alpha-1 selective adrenergic agonist and is commonly used in the treatment of migraine disorders.
DB00697,"Tizanidine is a fast-acting drug used for the management of muscle spasm, which may result from the effects of multiple sclerosis, stroke, an acquired brain injury, or a spinal cord injury [T574].  It may also be caused by musculoskeletal injury [A177583].  Regardless of the cause, muscle spasticity can be an extremely painful and debilitating condition. 

Initially approved by the FDA in 1996, tizanidine is an Alpha-2 adrenergic receptor agonist reducing spasticity by the presynaptic inhibition of excitatory neurotransmitters that cause firing of neurons promoting muscle spasm [FDA label]."
DB00704,"Derivative of noroxymorphone that is the N-cyclopropylmethyl congener of naloxone. It is a narcotic antagonist that is effective orally, longer lasting and more potent than naloxone, and has been proposed for the treatment of heroin addiction. The FDA has approved naltrexone for the treatment of alcohol dependence."
DB00706,"Tamsulosin is a selective alpha-1A and alpha-1B adrenoceptor antagonist that exerts its greatest effect in the prostate and bladder, where these receptors are most common.[Label] It is indicated for the treatment of signs and symptoms of benign prostatic hypertrophy.[Label] Antagonism of these receptors leads to relaxation of smooth muscle in the prostate and detrusor muscles in the bladder, allowing for better urinary flow.[Label] Other alpha-1 adrenoceptor antagonists developed in the 1980s were less selective and more likely to act on the smooth muscle of blood vessels, resulting in hypotension.[A178351]

Tamsulosin was first approved by the FDA on April 15, 1997.[L6238]"
DB00707,"The purified component of hematoporphyrin derivative, it consists of a mixture of oligomeric porphyrins. It is used in photodynamic therapy (hematoporphyrin photoradiation); to treat malignant lesions with visible light and experimentally as an antiviral agent. It is the first drug to be approved in the use of photodynamic therapy in the United States."
DB00710,"Ibandronate, or BM 21.0955, is a third generation, nitrogen containing bisphosphonate similar to [zoledronic acid], [minodronic acid], and [risedronic acid].[A203111,A203138] It is used to prevent and treat postmenopausal osteoporosis.[L13805,L13808] Ibandronate was first described in the literature in 1993 as a treatment for bone loss in dogs.[A203138]

Ibandronate was granted FDA approval on 16 May 2003.[L13805]"
DB00712,"Flurbiprofen, a propionic acid derivative, is a nonsteroidal anti-inflammatory agent (NSAIA) with antipyretic and analgesic activity. Oral formulations of flurbiprofen may be used for the symptomatic treatment of rheumatoid arthritis, osteoarthritis and anklylosing spondylitis. Flurbiprofen may also be used topically prior to ocular surgery to prevent or reduce intraoperative miosis. Flurbiprofen is structurally and pharmacologically related to fenoprofen, ibuprofen, and ketoprofen."
DB00714,"Apomorphine is a non-ergoline dopamine D2 agonist indicated to treat hypomobility associated with Parkinson's. It was first synthesized in 1845 and first used in Parkinson's disease in 1884.[A203618] Apomorphine has also been investigated as an emetic, a sedative, a treatment for alcoholism, and a treatment of other movement disorders.[A203597,A203618]

Apomorphine was granted FDA approval on 20 April 2004.[L13919]"
DB00715,"Paroxetine is a selective serotonin reuptake inhibitor (SSRI) drug commonly known as Paxil. It has a variety of uses, including the treatment of anxiety disorders, major depression, posttraumatic stress disorder, and symptoms of menopause, among others.[T653] It was approved by the FDA in the early 1990s and marketed by SmithKline Beecham.[L7712,L7715] A unique feature of this drug is that it is highly potent and selective in its inhibition of serotonin reuptake and has little effect on other neurotransmitters.[A31914] Because of its potent inhibition of serotonin reuptake, paroxetine is more likely to cause withdrawal effects upon cessation. Paroxetine is well tolerated in most patients with a similar adverse effect profile to other members of its drug class.[A31914] The controlled release formulation was designed to decrease the likelihood of nausea that is sometimes associated with paroxetine.[L7700,L7742]"
DB00716,"A pyranoquinolone derivative that inhibits activation of inflammatory cells which are associated with asthma, including eosinophils, neutrophils, macrophages, mast cells, monocytes, and platelets."
DB00717,"Norethisterone, also known as norethindrone, is a synthetic progestational hormone belonging to the 19-nortestosterone-derived class of progestins.[A10367] It is further classified as a second-generation progestin, along with [levonorgestrel] and its derivatives, and is the active form of several other progestins including [norethynodrel] and [lynestrenol].[A10367] Norethisterone mimics the actions of endogenous [progesterone], albeit with a greater potency,[A188075] and is used on its own or in combination with estrogen derivatives in a variety of applications including contraception and hormone replacement therapy.[L9527,L10301,L10304,L10307] First derived in 1951 in Mexico City, norethisterone was originally intended for use as a remedy for irregular menstruation and endometriosis, and was not marketed for use as an oral contraceptive until 1962.[L10439]"
DB00721,"A local anesthetic of the ester type that has a slow onset and a short duration of action. It is mainly used for infiltration anesthesia, peripheral nerve block, and spinal block. (From Martindale, The Extra Pharmacopoeia, 30th ed, p1016). Procaine has also been investigated as an oral entry inhibitor in treatment-experienced HIV patients [L1215]."
DB00722,"Lisinopril is an angiotensin converting enzyme inhibitor (ACEI) used to treat hypertension, heart failure, and myocardial infarction.[L8384,L8387,L8390] Lisinopril and [captopril] are the only ACEIs that are not prodrugs.[A184853] It functions by inhibition of angiotensin converting enzyme as well as the renin angiotensin aldosterone system.[A184781,A184808,A184817] ACEIs are commonly used as a first line therapy in the treatment of hypertension, along with thiazide diuretics or beta blockers.[A184844]

Lisinopril was granted FDA approval on 29 December 1987.[L8384]"
DB00724,"Imiquimod is an immune response modifier that acts as a toll-like receptor 7 agonist. Imiquimod is commonly used topically to treat warts on the skin of the genital and anal areas. Imiquimod does not cure warts, and new warts may appear during treatment. Imiquimod does not fight the viruses that cause warts directly, however, it does help to relieve and control wart production. Miquimod is also used to treat a skin condition of the face and scalp called actinic keratoses and certain types of skin cancer called superficial basal cell carcinoma."
DB00727,"Nitroglycerin, also known as glyceryl trinitrate,[A180169] is an organic nitrate and a vasodilating agent [L38369] that was first discovered in 1847.[A249965] Originally used to dynamite, its antianginal effects were identified in the late 1860s after it produced headaches in factory workers while workers with angina pectoris or heart failure experienced relief from chest pain.[A180166,A180172] Its use as a treatment for angina dates back to 1879 and is still used to treat and prevent angina.[A249970] Nitroglycerin causes vasodilation in both arteries and veins.[A180172]

Nitroglycerin is used in a variety of different conditions, including angina pectoris due to coronary artery disease,[L7102,L7141,L38369,L42320] peri-operative hypertension, congestive heart failure,[L7099] and chronic anal fissure.[L42445] It is also used to induce intraoperative hypotension.[L7099]"
DB00731,"Nateglinide is an oral antihyperglycemic agent used for the treatment of non-insulin-dependent diabetes mellitus (NIDDM). It belongs to the meglitinide class of short-acting insulin secretagogues, which act by binding to β cells of the pancreas to stimulate insulin release. Nateglinide is an amino acid derivative that induces an early insulin response to meals decreasing postprandial blood glucose levels. It should only be taken with meals and meal-time doses should be skipped with any skipped meal. Approximately one month of therapy is required before a decrease in fasting blood glucose is seen. Meglitnides may have a neutral effect on weight or cause a slight increase in weight. The average weight gain caused by meglitinides appears to be lower than that caused by sulfonylureas and insulin and appears to occur only in those naïve to oral antidiabetic agents. Due to their mechanism of action, meglitinides may cause hypoglycemia although the risk is thought to be lower than that of sulfonylureas since their action is dependent on the presence of glucose. In addition to reducing postprandial and fasting blood glucose, meglitnides have been shown to decrease glycosylated hemoglobin (HbA1c) levels, which are reflective of the last 8-10 weeks of glucose control. Meglitinides appear to be more effective at lowering postprandial blood glucose than metformin, sulfonylureas and thiazolidinediones. Nateglinide is extensively metabolized in the liver and excreted in urine (83%) and feces (10%). The major metabolites possess less activity than the parent compound. One minor metabolite, the isoprene, has the same potency as its parent compound."
DB00733,"Pralidoxime is an antidote to organophosphate pesticides and chemicals. Organophosphates bind to the esteratic site of acetylcholinesterase, which results initially in reversible inactivation of the enzyme. If given within 24 hours,after organophosphate exposure, pralidoxime reactivates the enzyme cholinesterase by cleaving the phosphate-ester bond formed between the organophosphate and acetylcholinesterase."
DB00734,"Risperidone is a second-generation antipsychotic (SGA) medication used in the treatment of a number of mood and mental health conditions including schizophrenia and bipolar disorder.[L12885] It is one of the most widely used SGAs. [Paliperidone], another commonly used SGA, is the primary active metabolite of risperidone (i.e. 9-hydroxyrisperidone).[L12885]

Schizophrenia and various mood disorders are thought to be caused by an excess of dopaminergic D2 and serotonergic 5-HT2A activity, resulting in overactivity of central mesolimbic pathways and mesocortical pathways, respectively. Risperidone is thought to reduce this overactivity through inhibition of dopaminergic D2 receptors and serotonergic 5-HT2A receptors in the brain.[L12885]

Risperidone binds with a very high affinity to 5-HT2A receptors, approximately 10-20 fold greater than the drug's binding affinity to D2 receptors, and carries lesser activity at several off-targets which may responsible for some of its undesirable effects.[L12885]"
DB00736,"Esomeprazole, sold under the brand name Nexium, is a proton pump inhibitor (PPI) medication used for the management of gastroesophageal reflux disease (GERD), for gastric protection to prevent recurrence of stomach ulcers or gastric damage from chronic use of NSAIDs, and for the treatment of pathological hypersecretory conditions including Zollinger-Ellison (ZE) Syndrome. It can also be found in quadruple regimens for the treatment of _H. pylori_ infections along with other antibiotics including [DB01060], [DB01211], and [DB00916], for example.[A177271, F4498] Its efficacy is considered similar to other medications within the PPI class including [DB00338], [DB00213], [DB00448], [DB05351], and [DB01129]. Esomeprazole is the s-isomer of [DB00338], which is a racemate of the S- and R-enantiomer. Esomeprazole has been shown to inhibit acid secretion to a similar extent as [DB00338], without any significant differences between the two compounds _in vitro_. 

Esomeprazole exerts its stomach acid-suppressing effects by preventing the final step in gastric acid production by covalently binding to sulfhydryl groups of cysteines found on the (H+, K+)-ATPase enzyme at the secretory surface of gastric parietal cells. This effect leads to inhibition of both basal and stimulated gastric acid secretion, irrespective of the stimulus. As the binding of esomeprazole to the (H+, K+)-ATPase enzyme is irreversible and new enzyme needs to be expressed in order to resume acid secretion, esomeprazole's duration of antisecretory effect persists longer than 24 hours.[FDA Label]

PPIs such as esomeprazole have also been shown to inhibit the activity of dimethylarginine dimethylaminohydrolase (DDAH), an enzyme necessary for cardiovascular health. DDAH inhibition causes a consequent accumulation of the nitric oxide synthase inhibitor asymmetric dimethylarginie (ADMA), which is thought to cause the association of PPIs with increased risk of cardiovascular events in patients with unstable coronary syndromes.[A177577, A177580]

Due to their good safety profile and as several PPIs are available over the counter without a prescription, their current use in North America is widespread. Long term use of PPIs such as esomeprazole has been associated with possible adverse effects, however, including increased susceptibility to bacterial infections (including gastrointestinal _C. difficile_), reduced absorption of micronutrients such as iron and B12, and an increased risk of developing hypomagnesemia and hypocalcemia which may contribute to osteoporosis and bone fractures later in life.[A177571]

Rapid discontinuation of PPIs such as esomeprazole may cause a rebound effect and a short term increase in hypersecretion.[A177574] Esomeprazole doses should be slowly lowered, or tapered, before discontinuing to prevent this rebound effect."
DB00741,"Hydrocortisone, or cortisol, is a glucocorticoid secreted by the adrenal cortex.[A188387] Hydrocortisone is used to treat immune, inflammatory, and neoplastic conditions.[L10529,L10532,L10535,L10538,L7772,L7321] It was discovered in the 1930s by Edward Kendall and named Compound F, or 17-hydroxycorticosterone.[A188420]

Hydrocortisone was granted FDA approval on 5 August 1952.[L10574]"
DB00744,"Leukotrienes are substances that induce numerous biological effects including augmentation of neutrophil and eosinophil migration, neutrophil and monocyte aggregation, leukocyte adhesion, increased capillary permeability, and smooth muscle contraction. These effects contribute to inflammation, edema, mucus secretion, and bronchoconstriction in the airways of asthmatic patients. Zileuton relieves such symptoms through its selective inhibition of 5-lipoxygenase, the enzyme that catalyzes the formation of leukotrienes from arachidonic acid. Specifically, it inhibits leukotriene LTB4, LTC4, LTD4, and LTE4 formation. Both the R(+) and S(-) enantiomers are pharmacologically active as 5-lipoxygenase inhibitors in in vitro systems. The immediate release tablet of Zileuton has been withdrawn from the US market."
DB00745,"Modafinil is a stimulant drug marketed as a 'wakefulness promoting agent' and is one of the stimulants used in the treatment of narcolepsy. Narcolepsy is caused by dysfunction of a family of wakefulness-promoting and sleep-suppressing peptides, the orexins, whose neurons are activated by modafinil. The prexin neuron activation is associated with psychoactivation and euphoria. The exact mechanism of action is unclear, although in vitro studies have shown it to inhibit the reuptake of dopamine by binding to the dopamine reuptake pump, and lead to an increase in extracellular dopamine. Modafinil activates glutamatergic circuits while inhibiting GABA."
DB00747,"Scopolamine is a tropane alkaloid isolated from members of the _Solanaceae_ family of plants, similar to [atropine] and [hyoscyamine], all of which structurally mimic the natural neurotransmitter [acetylcholine].[A228423, A228763] Scopolamine was first synthesized in 1959, but to date, synthesis remains less efficient than extracting scopolamine from plants.[A228763] As an acetylcholine analogue, scopolamine can antagonize muscarinic acetylcholine receptors (mAChRs) in the central nervous system and throughout the body, inducing several therapeutic and adverse effects related to alteration of parasympathetic nervous system and cholinergic signalling.[A228758, L31578] Due to its dose-dependent adverse effects, scopolamine was the first drug to be offered commercially as a transdermal delivery system, Scopoderm TTS®, in 1981.[A228423, A228758] As a result of its anticholinergic effects, scopolamine is being investigated for diverse therapeutic applications; currently, it is approved for the prevention of nausea and vomiting associated with motion sickness and surgical procedures.[A228773, L31578]

Scopolamine was first approved by the FDA on December 31, 1979, and is currently available as both oral tablets and a transdermal delivery system.[L31578]"
DB00749,"Etodolac is a non-steroidal anti-inflammatory drug (NSAID) with anti-inflammatory, analgesic and antipyretic properties. Its therapeutic effects are due to its ability to inhibit prostaglandin synthesis. It is indicated for relief of signs and symptoms of rheumatoid arthritis and osteoarthritis."
DB00750,"A local anesthetic that is similar pharmacologically to lidocaine. Currently, it is used most often for infiltration anesthesia in dentistry. (From AMA Drug Evaluations Annual, 1992, p165)"
DB00754,"Ethotoin is a hydantoin derivative and anticonvulsant. Ethotoin exerts an antiepileptic effect without causing general central nervous system depression. The mechanism of action is probably very similar to that of phenytoin. The latter drug appears to stabilize rather than to raise the normal seizure threshold, and to prevent the spread of seizure activity rather than to abolish the primary focus of seizure discharges. Ethotoin is no longer  commonly used."
DB00755,"Tretinoin, also known as all-trans-retinoic acid (ATRA), is a naturally occurring derivative of [vitamin A] (retinol).[A257474] It is an oxidation product in the physiological pathway of vitamin A metabolism.[A257689] In human circulation, tretinoin is normally found at very low concentrations, approximately 4 to 14 nmol/L.[A257689] Tretinoin exhibits anti-inflammatory, antineoplastic, antioxidant, and free radical-scavenging activities.[A257689] It has been used in dermatology for many years to treat various skin conditions ranging from acne to wrinkles [A257474,A258185] and activates nuclear receptors to regulate epithelial cell growth and differentiation.[A257474,A257629,A257609] Tretinoin is given orally to treat acute promyelocytic leukemia [L45349] and topically to treat skin conditions such as acne.[L45389,L34869,L45384]"
DB00757,"Dolasetron is an antinauseant and antiemetic agent indicated for the prevention of nausea and vomiting associated with moderately-emetogenic cancer chemotherapy and for the prevention of postoperative nausea and vomiting. Dolasetron is a highly specific and selective serotonin 5-HT3 receptor antagonist. This drug is not shown to have activity at other known serotonin receptors, and has low affinity for dopamine receptors."
DB00758,"Clopidogrel is a prodrug of a platelet inhibitor used to reduce the risk of myocardial infarction and stroke.[A180508,L7213] Clopidogrel is indicated to reduce the risk of myocardial infarction for patients with non-ST elevated acute coronary syndrome (ACS), patients with ST-elevated myocardial infarction, and in recent MI, stroke, or established peripheral arterial disease,[L7213]

It has been shown to be superior to [aspirin] in reducing cardiovascular outcomes in patients with cardiovascular disease and provides additional benefit to patients with acute coronary syndromes already taking aspirin.[A180547]

Clopidogrel was granted FDA approval on 17 November 1997.[L7213]"
DB00759,"Tetracycline is a broad spectrum polyketide antibiotic produced by the Streptomyces genus of Actinobacteria. It exerts a bacteriostatic effect on bacteria by binding reversible to the bacterial 30S ribosomal subunit and blocking incoming aminoacyl tRNA from binding to the ribosome acceptor site. It also binds to some extent to the bacterial 50S ribosomal subunit and may alter the cytoplasmic membrane causing intracellular components to leak from bacterial cells.

The FDA withdrew its approval for the use of all liquid oral drug products formulated for pediatric use containing tetracycline in a concentration greater than 25 mg/ml.[L43942] Other formulations of tetracycline continue to be used."
DB00762,"Irinotecan is an antineoplastic enzyme inhibitor primarily used in the treatment of colorectal cancer. It is a derivative of camptothecin that inhibits the action of topoisomerase I. Irinotecan prevents religation of the DNA strand by binding to topoisomerase I-DNA complex, and causes double-strand DNA breakage and cell death. It is a derivative of camptothecin. Irinotecan was approved for the treatment of advanced pancreatic cancer in October, 2015 (irinotecan liposome injection, trade name Onivyde)."
DB00763,"Methimazole is a thionamide antithyroid agent that inhibits the synthesis of thyroid hormones.[A184559,A184733,A184694] It was first introduced as an antithyroid agent in 1949[A184502] and is now commonly used in the management of hyperthyroidism, particularly in those for whom more aggressive options such as surgery or radioactive iodine therapy are inappropriate.[L8336,L8339]

On a weight basis, methimazole is 10 times more potent than the other major antithyroid thionamide used in North America, [propylthiouracil],[L8339] and is the active metabolite of the pro-drug [carbimazole], which is an antithyroid medication used in the United Kingdom and parts of the former British Commonwealth.[A184733] Traditionally, methimazole has been preferentially used over propylthiouracil due to the risk of fulminant hepatotoxicity carried by the latter,[A184757] with propylthiouracil being preferred in pregnancy due to a perceived lower risk of teratogenic effects. Despite documented teratogenic effects in its published labels,[L8336,L8339] the true teratogenicity of methimazole appears to be unclear[A184643,A184757,A184763] and its place in therapy may change in the future."
DB00764,"Mometasone is a corticosteroid not currently used in medical products. [Mometasone furoate] however, is still in use."
DB00765,"An inhibitor of the enzyme tyrosine 3-monooxygenase, and consequently of the synthesis of catecholamines. It is used to control the symptoms of excessive sympathetic stimulation in patients with pheochromocytoma. (Martindale, The Extra Pharmacopoeia, 30th ed)"
DB00767,"Benzquinamide is a discontinued antiemetic compound with antihistaminic, mild anticholinergic, and sedative properties. The mechanism of action is not known, but presumably benzquinamide works via antagonism of muscarinic acetycholine receptors and histamine H1 receptors. "
DB00771,"Clidinium is a synthetic anticholinergic agent which has been shown in experimental and clinical studies to have a pronounced antispasmodic and antisecretory effect on the gastrointestinal tract. It inhibits muscarinic actions of acetylcholine at postganglionic parasympathetic neuroeffector sites. It is used for the treatment of peptic ulcer disease and also to help relieve abdominal or stomach spasms or cramps due to colicky abdominal pain, diverticulitis, and irritable bowel syndrome."
DB00773,"A semisynthetic derivative of podophyllotoxin that exhibits antitumor activity. Etoposide inhibits DNA synthesis by forming a complex with topoisomerase II and DNA. This complex induces breaks in double stranded DNA and prevents repair by topoisomerase II binding. Accumulated breaks in DNA prevent entry into the mitotic phase of cell division, and lead to cell death. Etoposide acts primarily in the G2 and S phases of the cell cycle."
DB00775,"Tirofiban prevents the blood from clotting during episodes of chest pain or a heart attack, or while the patient is undergoing a procedure to treat a blocked coronary artery. It is a non-peptide reversible antagonist of the platelet glycoprotein (GP) IIb/IIIa receptor, and inhibits platelet aggregation."
DB00776,"Oxcarbazepine is an anti-epileptic medication used in the treatment of partial onset seizures that was first approved for use in the United States in 2000.[L8627,L8630,L8633] It is a structural derivative of [carbamazepine][A186101] and exerts a majority of its activity via a pharmacologically active metabolite, MHD, which exists as a racemate in the blood - a pro-drug of the more active (S)-enantiomer is also marketed as a separate anti-epileptic under the name [eslicarbazepine].[A186011] Compared to other anti-epileptic drugs, which are generally metabolized via the cytochrome P450 system, oxcarbazepine has a reduced propensity for involvement in drug-drug interactions owing to its primarily reductive metabolism.[A186032]"
